epd_name,declared_unit,gwp_per_declared_unit,mass_per_declared_unit,thickness,thickness_per_declared_unit,density,reference_service_life,gwp_per_m3 (kg CO2 eq/m3),gwp_per_m2 (kg CO2 eq/m2),gwp_per_kg (kg CO2 eq/kg),gwp_per_unit (kg CO2 eq/unit),mass_per_area,original_ec3_link,description,Material Category,Component Type
Wood Window Frame - Serie 100Energy - Oak,1 m2,93.84 kgCO2e,58.02 kg,100 mm,,,,938.4,93.84,1.61737332,0.0,0.0,https://buildingtransparency.org/ec3/organizations/2d865c9a74ec436eaab0162f901d5897,"Wooden and wood-aluminium window frame, with tilt and turn sash, double glazing with low-E glass 33.1-16-33.1. The profiles are made of laminated wood of five different species: chestnut and oak from local origin, larch and pine from Siberia, Eucalyptus Red Grandis from Uruguay. The windows and doors, painted with water-based paint, are also available in a thermo-treated larch version.",Wood Window Frame,window frame
Wood Window Frame - Serie 100Energy - Heat treated larch,1 m2,86.68 kgCO2e,46.18 kg,100 mm,,,,866.8000000000001,86.68,1.877003032,0.0,0.0,https://buildingtransparency.org/ec3/organizations/2d865c9a74ec436eaab0162f901d5897,"Wooden and wood-aluminium window frame, with tilt and turn sash, double glazing with low-E glass 33.1-16-33.1. The profiles are made of laminated wood of five different species: chestnut and oak from local origin, larch and pine from Siberia, Eucalyptus Red Grandis from Uruguay. The windows and doors, painted with water-based paint, are also available in a thermo-treated larch version.",Wood Window Frame,window frame
Wood Window Frame - Serie 100Energy - Larch,1 m2,105.34 kgCO2e,52.69 kg,100 mm,,,,1053.3999999999999,105.34,1.999240843,0.0,0.0,https://buildingtransparency.org/ec3/organizations/2d865c9a74ec436eaab0162f901d5897,"Wooden and wood-aluminium window frame, with tilt and turn sash, double glazing with low-E glass 33.1-16-33.1. The profiles are made of laminated wood of five different species: chestnut and oak from local origin, larch and pine from Siberia, Eucalyptus Red Grandis from Uruguay. The windows and doors, painted with water-based paint, are also available in a thermo-treated larch version.",Wood Window Frame,window frame
Wood Window Frame - Serie 100Energy - Chestnut,1 m2,94 kgCO2e,49.62 kg,100 mm,,,,940.0,94.0,1.89439742,0.0,0.0,https://buildingtransparency.org/ec3/organizations/2d865c9a74ec436eaab0162f901d5897,"Wooden and wood-aluminium window frame, with tilt and turn sash, double glazing with low-E glass 33.1-16-33.1. The profiles are made of laminated wood of five different species: chestnut and oak from local origin, larch and pine from Siberia, Eucalyptus Red Grandis from Uruguay. The windows and doors, painted with water-based paint, are also available in a thermo-treated larch version.",Wood Window Frame,window frame
Wood Window Frame - Serie 80Energy - Eucalyptus Red Grandis,1 m2,97.01 kgCO2e,45.04 kg,80 mm,,,,1212.625,97.01,2.153863233,0.0,0.0,https://buildingtransparency.org/ec3/organizations/2d865c9a74ec436eaab0162f901d5897,"Wooden and wood-aluminium window frame, with tilt and turn sash, double glazing with low-E glass 33.1-16-33.1. The profiles are made of laminated wood of five different species: chestnut and oak from local origin, larch and pine from Siberia, Eucalyptus Red Grandis from Uruguay. The windows and doors, painted with water-based paint, are also available in a thermo-treated larch version.",Wood Window Frame,window frame
Wood Window Frame - Serie 80Energy - Pine tree,1 m2,93.51 kgCO2e,43.33 kg,80 mm,,,,1168.875,93.51,2.158089084,0.0,0.0,https://buildingtransparency.org/ec3/organizations/2d865c9a74ec436eaab0162f901d5897,"Wooden and wood-aluminium window frame, with tilt and turn sash, double glazing with low-E glass 33.1-16-33.1. The profiles are made of laminated wood of five different species: chestnut and oak from local origin, larch and pine from Siberia, Eucalyptus Red Grandis from Uruguay. The windows and doors, painted with water-based paint, are also available in a thermo-treated larch version.",Wood Window Frame,window frame
Wood Window Frame - Serie 80Energy - Oak,1 m2,87 kgCO2e,50.26 kg,80 mm,,,,1087.5,87.0,1.730998806,0.0,0.0,https://buildingtransparency.org/ec3/organizations/2d865c9a74ec436eaab0162f901d5897,"Wooden and wood-aluminium window frame, with tilt and turn sash, double glazing with low-E glass 33.1-16-33.1. The profiles are made of laminated wood of five different species: chestnut and oak from local origin, larch and pine from Siberia, Eucalyptus Red Grandis from Uruguay. The windows and doors, painted with water-based paint, are also available in a thermo-treated larch version.",Wood Window Frame,window frame
Wood Window Frame - Serie 80Energy - Heat treated larch,1 m2,80.86 kgCO2e,41.95 kg,80 mm,,,,1010.75,80.86,1.927532777,0.0,0.0,https://buildingtransparency.org/ec3/organizations/2d865c9a74ec436eaab0162f901d5897,"Wooden and wood-aluminium window frame, with tilt and turn sash, double glazing with low-E glass 33.1-16-33.1. The profiles are made of laminated wood of five different species: chestnut and oak from local origin, larch and pine from Siberia, Eucalyptus Red Grandis from Uruguay. The windows and doors, painted with water-based paint, are also available in a thermo-treated larch version.",Wood Window Frame,window frame
Wood Window Frame - Serie 80Energy - Larch,1 m2,97.35 kgCO2e,46.41 kg,80 mm,,,,1216.875,97.35,2.097608274,0.0,0.0,https://buildingtransparency.org/ec3/organizations/2d865c9a74ec436eaab0162f901d5897,"Wooden and wood-aluminium window frame, with tilt and turn sash, double glazing with low-E glass 33.1-16-33.1. The profiles are made of laminated wood of five different species: chestnut and oak from local origin, larch and pine from Siberia, Eucalyptus Red Grandis from Uruguay. The windows and doors, painted with water-based paint, are also available in a thermo-treated larch version.",Wood Window Frame,window frame
Wood Window Frame - Serie 80Energy - Chestnut,1 m2,87.17 kgCO2e,44.16 kg,80 mm,,,,1089.625,87.17,1.973958333,0.0,0.0,https://buildingtransparency.org/ec3/organizations/2d865c9a74ec436eaab0162f901d5897,"Wooden and wood-aluminium window frame, with tilt and turn sash, double glazing with low-E glass 33.1-16-33.1. The profiles are made of laminated wood of five different species: chestnut and oak from local origin, larch and pine from Siberia, Eucalyptus Red Grandis from Uruguay. The windows and doors, painted with water-based paint, are also available in a thermo-treated larch version.",Wood Window Frame,window frame
Wood Window Frame - Serie 70Energy - Eucalyptus Red Grandis,1 m2,91.17 kgCO2e,40.29 kg,70 mm,,,,1302.4285714285713,91.17,2.262844378,0.0,0.0,https://buildingtransparency.org/ec3/organizations/2d865c9a74ec436eaab0162f901d5897,"Wooden and wood-aluminium window frame, with tilt and turn sash, double glazing with low-E glass 33.1-16-33.1. The profiles are made of laminated wood of five different species: chestnut and oak from local origin, larch and pine from Siberia, Eucalyptus Red Grandis from Uruguay. The windows and doors, painted with water-based paint, are also available in a thermo-treated larch version.",Wood Window Frame,window frame
Wood Window Frame - Serie 70Energy - Pine tree,1 m2,88.68 kgCO2e,39.08 kg,70 mm,,,,1266.857142857143,88.68,2.269191402,0.0,0.0,https://buildingtransparency.org/ec3/organizations/2d865c9a74ec436eaab0162f901d5897,"Wooden and wood-aluminium window frame, with tilt and turn sash, double glazing with low-E glass 33.1-16-33.1. The profiles are made of laminated wood of five different species: chestnut and oak from local origin, larch and pine from Siberia, Eucalyptus Red Grandis from Uruguay. The windows and doors, painted with water-based paint, are also available in a thermo-treated larch version.",Wood Window Frame,window frame
Wood Window Frame - Serie 70Energy - Oak,1 m2,84.02 kgCO2e,44.03 kg,70 mm,,,,1200.2857142857142,84.02,1.908244379,0.0,0.0,https://buildingtransparency.org/ec3/organizations/2d865c9a74ec436eaab0162f901d5897,"Wooden and wood-aluminium window frame, with tilt and turn sash, double glazing with low-E glass 33.1-16-33.1. The profiles are made of laminated wood of five different species: chestnut and oak from local origin, larch and pine from Siberia, Eucalyptus Red Grandis from Uruguay. The windows and doors, painted with water-based paint, are also available in a thermo-treated larch version.",Wood Window Frame,window frame
Wood Window Frame - Serie 70Energy - Heat treated larch,1 m2,77.05 kgCO2e,37.66 kg,70 mm,,,,1100.7142857142856,77.05,2.045937334,0.0,0.0,https://buildingtransparency.org/ec3/organizations/2d865c9a74ec436eaab0162f901d5897,"Wooden and wood-aluminium window frame, with tilt and turn sash, double glazing with low-E glass 33.1-16-33.1. The profiles are made of laminated wood of five different species: chestnut and oak from local origin, larch and pine from Siberia, Eucalyptus Red Grandis from Uruguay. The windows and doors, painted with water-based paint, are also available in a thermo-treated larch version.",Wood Window Frame,window frame
Wood Window Frame - Serie 70Energy - Larch,1 m2,89.92 kgCO2e,41.2 kg,70 mm,,,,1284.5714285714284,89.92,2.182524272,0.0,0.0,https://buildingtransparency.org/ec3/organizations/2d865c9a74ec436eaab0162f901d5897,"Wooden and wood-aluminium window frame, with tilt and turn sash, double glazing with low-E glass 33.1-16-33.1. The profiles are made of laminated wood of five different species: chestnut and oak from local origin, larch and pine from Siberia, Eucalyptus Red Grandis from Uruguay. The windows and doors, painted with water-based paint, are also available in a thermo-treated larch version.",Wood Window Frame,window frame
Wood-aluminium Window Frame - Serie 90Excell- Chestnut,1 m2,102.56 kgCO2e,40.4 kg,90 mm,,,,1139.5555555555557,102.56,2.538613861,0.0,0.0,https://buildingtransparency.org/ec3/organizations/2d865c9a74ec436eaab0162f901d5897,"Wooden and wood-aluminium window frame, with tilt and turn sash, double glazing with low-E glass 33.1-16-33.1. The profiles are made of laminated wood of five different species: chestnut and oak from local origin, larch and pine from Siberia, Eucalyptus Red Grandis from Uruguay. The windows and doors, painted with water-based paint, are also available in a thermo-treated larch version.",Wood-Aluminium Window Frame,window frame
Wood-aluminium Window Frame - Serie 70Excell- Larch,1 m2,108.38 kgCO2e,40.4 kg,90 mm,,,,1204.2222222222222,108.38,2.682673267,0.0,0.0,https://buildingtransparency.org/ec3/organizations/2d865c9a74ec436eaab0162f901d5897,"Wooden and wood-aluminium window frame, with tilt and turn sash, double glazing with low-E glass 33.1-16-33.1. The profiles are made of laminated wood of five different species: chestnut and oak from local origin, larch and pine from Siberia, Eucalyptus Red Grandis from Uruguay. The windows and doors, painted with water-based paint, are also available in a thermo-treated larch version.",Wood-Aluminium Window Frame,window frame
Wood-aluminium Window Frame - Serie 125Excell - Eucalyptus Red Grandis,1 m2,126.14 kgCO2e,51.5 kg,120 mm,,,,1051.1666666666667,126.14,2.449320388,0.0,0.0,https://buildingtransparency.org/ec3/organizations/2d865c9a74ec436eaab0162f901d5897,"Wooden and wood-aluminium window frame, with tilt and turn sash, double glazing with low-E glass 33.1-16-33.1. The profiles are made of laminated wood of five different species: chestnut and oak from local origin, larch and pine from Siberia, Eucalyptus Red Grandis from Uruguay. The windows and doors, painted with water-based paint, are also available in a thermo-treated larch version.",Wood-Aluminium Window Frame,window frame
Wood-aluminium Window Frame - Serie 125Excell - Pine tree,1 m2,121.43 kgCO2e,49.29999999999998 kg,120 mm,,,,1011.9166666666667,121.43,2.463083164,0.0,0.0,https://buildingtransparency.org/ec3/organizations/2d865c9a74ec436eaab0162f901d5897,"Wooden and wood-aluminium window frame, with tilt and turn sash, double glazing with low-E glass 33.1-16-33.1. The profiles are made of laminated wood of five different species: chestnut and oak from local origin, larch and pine from Siberia, Eucalyptus Red Grandis from Uruguay. The windows and doors, painted with water-based paint, are also available in a thermo-treated larch version.",Wood-Aluminium Window Frame,window frame
Wood-aluminium Window Frame - Serie 125Excell - Oak,1 m2,112.3 kgCO2e,58.7 kg,120 mm,,,,935.8333333333334,112.3,1.913117547,0.0,0.0,https://buildingtransparency.org/ec3/organizations/2d865c9a74ec436eaab0162f901d5897,"Wooden and wood-aluminium window frame, with tilt and turn sash, double glazing with low-E glass 33.1-16-33.1. The profiles are made of laminated wood of five different species: chestnut and oak from local origin, larch and pine from Siberia, Eucalyptus Red Grandis from Uruguay. The windows and doors, painted with water-based paint, are also available in a thermo-treated larch version.",Wood-Aluminium Window Frame,window frame
Wood-aluminium Window Frame - Serie 125Excell - Heat treated larch,1 m2,105.14 kgCO2e,46.9 kg,120 mm,,,,876.1666666666667,105.14,2.241791045,0.0,0.0,https://buildingtransparency.org/ec3/organizations/2d865c9a74ec436eaab0162f901d5897,"Wooden and wood-aluminium window frame, with tilt and turn sash, double glazing with low-E glass 33.1-16-33.1. The profiles are made of laminated wood of five different species: chestnut and oak from local origin, larch and pine from Siberia, Eucalyptus Red Grandis from Uruguay. The windows and doors, painted with water-based paint, are also available in a thermo-treated larch version.",Wood-Aluminium Window Frame,window frame
Wood-aluminium Window Frame - Serie 125Excell - Larch,1 m2,123.8 kgCO2e,53.4 kg,120 mm,,,,1031.6666666666667,123.8,2.31835206,0.0,0.0,https://buildingtransparency.org/ec3/organizations/2d865c9a74ec436eaab0162f901d5897,"Wooden and wood-aluminium window frame, with tilt and turn sash, double glazing with low-E glass 33.1-16-33.1. The profiles are made of laminated wood of five different species: chestnut and oak from local origin, larch and pine from Siberia, Eucalyptus Red Grandis from Uruguay. The windows and doors, painted with water-based paint, are also available in a thermo-treated larch version.",Wood-Aluminium Window Frame,window frame
Wood-aluminium Window Frame - Serie 125Excell - Chestnut,1 m2,112.46 kgCO2e,50.29999999999998 kg,120 mm,,,,937.1666666666666,112.46,2.235785288,0.0,0.0,https://buildingtransparency.org/ec3/organizations/2d865c9a74ec436eaab0162f901d5897,"Wooden and wood-aluminium window frame, with tilt and turn sash, double glazing with low-E glass 33.1-16-33.1. The profiles are made of laminated wood of five different species: chestnut and oak from local origin, larch and pine from Siberia, Eucalyptus Red Grandis from Uruguay. The windows and doors, painted with water-based paint, are also available in a thermo-treated larch version.",Wood-Aluminium Window Frame,window frame
Wood-aluminium Window Frame - Serie 101Excell - Eucalyptus Red Grandis,1 m2,115.47 kgCO2e,45.7 kg,100 mm,,,,1154.6999999999998,115.47,2.526695842,0.0,0.0,https://buildingtransparency.org/ec3/organizations/2d865c9a74ec436eaab0162f901d5897,"Wooden and wood-aluminium window frame, with tilt and turn sash, double glazing with low-E glass 33.1-16-33.1. The profiles are made of laminated wood of five different species: chestnut and oak from local origin, larch and pine from Siberia, Eucalyptus Red Grandis from Uruguay. The windows and doors, painted with water-based paint, are also available in a thermo-treated larch version.",Wood-Aluminium Window Frame,window frame
Wood-aluminium Window Frame - Serie 101Excell - Pine tree,1 m2,111.97 kgCO2e,44 kg,100 mm,,,,1119.6999999999998,111.97,2.544772727,0.0,0.0,https://buildingtransparency.org/ec3/organizations/2d865c9a74ec436eaab0162f901d5897,"Wooden and wood-aluminium window frame, with tilt and turn sash, double glazing with low-E glass 33.1-16-33.1. The profiles are made of laminated wood of five different species: chestnut and oak from local origin, larch and pine from Siberia, Eucalyptus Red Grandis from Uruguay. The windows and doors, painted with water-based paint, are also available in a thermo-treated larch version.",Wood-Aluminium Window Frame,window frame
Wood-aluminium Window Frame - Serie 101Excell - Oak,1 m2,105.46 kgCO2e,51 kg,100 mm,,,,1054.6,105.46,2.067843137,0.0,0.0,https://buildingtransparency.org/ec3/organizations/2d865c9a74ec436eaab0162f901d5897,"Wooden and wood-aluminium window frame, with tilt and turn sash, double glazing with low-E glass 33.1-16-33.1. The profiles are made of laminated wood of five different species: chestnut and oak from local origin, larch and pine from Siberia, Eucalyptus Red Grandis from Uruguay. The windows and doors, painted with water-based paint, are also available in a thermo-treated larch version.",Wood-Aluminium Window Frame,window frame
Wood-aluminium Window Frame - Serie 101Excell - Heat treated larch,1 m2,99.32 kgCO2e,42.65 kg,100 mm,,,,993.1999999999999,99.32,2.328722157,0.0,0.0,https://buildingtransparency.org/ec3/organizations/2d865c9a74ec436eaab0162f901d5897,"Wooden and wood-aluminium window frame, with tilt and turn sash, double glazing with low-E glass 33.1-16-33.1. The profiles are made of laminated wood of five different species: chestnut and oak from local origin, larch and pine from Siberia, Eucalyptus Red Grandis from Uruguay. The windows and doors, painted with water-based paint, are also available in a thermo-treated larch version.",Wood-Aluminium Window Frame,window frame
Wood-aluminium Window Frame - Serie 101Excell - Larch,1 m2,115.81 kgCO2e,47.1 kg,100 mm,,,,1158.1,115.81,2.45881104,0.0,0.0,https://buildingtransparency.org/ec3/organizations/2d865c9a74ec436eaab0162f901d5897,"Wooden and wood-aluminium window frame, with tilt and turn sash, double glazing with low-E glass 33.1-16-33.1. The profiles are made of laminated wood of five different species: chestnut and oak from local origin, larch and pine from Siberia, Eucalyptus Red Grandis from Uruguay. The windows and doors, painted with water-based paint, are also available in a thermo-treated larch version.",Wood-Aluminium Window Frame,window frame
Wood-aluminium Window Frame - Serie 101Excell - Chestnut,1 m2,105.63 kgCO2e,44.9 kg,100 mm,,,,1056.3,105.63,2.352561247,0.0,0.0,https://buildingtransparency.org/ec3/organizations/2d865c9a74ec436eaab0162f901d5897,"Wooden and wood-aluminium window frame, with tilt and turn sash, double glazing with low-E glass 33.1-16-33.1. The profiles are made of laminated wood of five different species: chestnut and oak from local origin, larch and pine from Siberia, Eucalyptus Red Grandis from Uruguay. The windows and doors, painted with water-based paint, are also available in a thermo-treated larch version.",Wood-Aluminium Window Frame,window frame
Wood-aluminium Window Frame - Serie 90Excell - Eucalyptus Red Grandis,1 m2,109.63 kgCO2e,41 kg,90 mm,,,,1218.111111111111,109.63,2.673902439,0.0,0.0,https://buildingtransparency.org/ec3/organizations/2d865c9a74ec436eaab0162f901d5897,"Wooden and wood-aluminium window frame, with tilt and turn sash, double glazing with low-E glass 33.1-16-33.1. The profiles are made of laminated wood of five different species: chestnut and oak from local origin, larch and pine from Siberia, Eucalyptus Red Grandis from Uruguay. The windows and doors, painted with water-based paint, are also available in a thermo-treated larch version.",Wood-Aluminium Window Frame,window frame
Wood-aluminium Window Frame - Serie 90Excell - Pine tree,1 m2,107.14 kgCO2e,39.79999999999999 kg,90 mm,,,,1190.4444444444446,107.14,2.691959799,0.0,0.0,https://buildingtransparency.org/ec3/organizations/2d865c9a74ec436eaab0162f901d5897,"Wooden and wood-aluminium window frame, with tilt and turn sash, double glazing with low-E glass 33.1-16-33.1. The profiles are made of laminated wood of five different species: chestnut and oak from local origin, larch and pine from Siberia, Eucalyptus Red Grandis from Uruguay. The windows and doors, painted with water-based paint, are also available in a thermo-treated larch version.",Wood-Aluminium Window Frame,window frame
Wood-aluminium Window Frame - Serie 90Excell - Oak,1 m2,102.48 kgCO2e,44.7 kg,90 mm,,,,1138.6666666666667,102.48,2.29261745,0.0,0.0,https://buildingtransparency.org/ec3/organizations/2d865c9a74ec436eaab0162f901d5897,"Wooden and wood-aluminium window frame, with tilt and turn sash, double glazing with low-E glass 33.1-16-33.1. The profiles are made of laminated wood of five different species: chestnut and oak from local origin, larch and pine from Siberia, Eucalyptus Red Grandis from Uruguay. The windows and doors, painted with water-based paint, are also available in a thermo-treated larch version.",Wood-Aluminium Window Frame,window frame
Wood-aluminium Window Frame - Serie 90Excell - Heat treated larch,1 m2,95.51 kgCO2e,38.4 kg,90 mm,,,,1061.2222222222224,95.51,2.487239583,0.0,0.0,https://buildingtransparency.org/ec3/organizations/2d865c9a74ec436eaab0162f901d5897,"Wooden and wood-aluminium window frame, with tilt and turn sash, double glazing with low-E glass 33.1-16-33.1. The profiles are made of laminated wood of five different species: chestnut and oak from local origin, larch and pine from Siberia, Eucalyptus Red Grandis from Uruguay. The windows and doors, painted with water-based paint, are also available in a thermo-treated larch version.",Wood-Aluminium Window Frame,window frame
Top Gun® Sealants,1 kg,1.7 kgCO2e,1 kg,,,1610.0 kg/m3,,2737.0,0.0,1.7,0.0,0.0,https://buildingtransparency.org/ec3/organizations/2ed5c474c91840dead5578ca171c9d9b,"Products included in this study comprise 15 products from PPG’s Top Gun line of sealants. Top Gun sealants are a family of acrylic sealants suitable for interior or exterior use on most building surfaces. According to the PCR, Top Gun sealants fall into the water-based and solvent-based evaporative chemistry type acrylic/acrylic copolymers, sub-group water-based latex. Included in this report are Top Gun 200XI (Siliconized Acrylic Sealant, 10 colors covered in this report), Top Gun 300 (Elastomeric Siliconized Acrylic Sealant, white color only covered in this report) and Top Gun 400 (Elastomeric Acrylic Urethane Sealant, 4 colors covered in this report). The 15 products are listed in Table 1 along with their crucial technical properties. Table 1 - List of Top Gun formulas covered by this EPD with declared unit and key properties",Window Perimeter Caulking - Sealant Acrylic,window perimeter caulking
Sikaflex®-1a,1.0 kg,3.67 kgCO2e,1 kg,,,1400 kg / m3,,5138.0,0.0,3.67,0.0,0.0,https://buildingtransparency.org/ec3/organizations/9c5e83d9471f4713a31b2466398a277e,"Sikaflex®-1a is a solvent free, low emission joint sealant suitable for both exterior and interior applications including construction joints, expansion joints, control joints and window perimeters in the building envelope.",Window Perimeter Caulking - Single-Ply Polyurethane,window perimeter caulking
Fixed Windows,1 m2,94.38 kgCO2e,,,,,,0.0,94.38,0.0,0.0,0.0,https://buildingtransparency.org/ec3/organizations/eb6e545456f94fae903bfebff7b6b052,"Fixed windows are windows that do not open. Their main function is to let in natural light. From economical solutions to historical replications, EFCO's fixed windows can be used in a variety of window combinations or as stand-alone products. EFCO fixed windows include product lines: Xtherm, Xtherm - XLT, 5FXT, FX45, 6615, 6621, 6715, FX32, OG32, OG45.",Fixed Window,whole window
Fixed Windows,1 m2,94.39 kgCO2e,94.38 kg,,,,,0.0,94.39,1.000105955,0.0,0.0,https://buildingtransparency.org/ec3/organizations/eb6e545456f94fae903bfebff7b6b052,"Fixed windows are windows that do not open. Their main function is to let in natural light. From economical solutions to historical replications, EFCO's fixed windows can be used in a variety of window combinations or as stand-alone products. EFCO fixed windows include the following product lines: Xtherm, Xtherm - XLT, 5FXT, FX45, 6615, 6621, 6715, FX32, OG32, OG45.",Fixed Window,whole window
Fixed Window,1 m2,94.39 kgCO2e,,,,,,0.0,94.39,0.0,0.0,0.0,https://buildingtransparency.org/ec3/organizations/eb6e545456f94fae903bfebff7b6b052,"Architectural aluminum windows for commercial applications, including fixed, projected, casement, hung, and sliding window types with various product lines and configurations",Fixed Window,whole window
Fixed & Ribbon Windows,1 m2,194 kgCO2e,38.1 kg,,,2700 kg / m3,,13748.0314959,194.0,5.091863517,0.0,0.0,https://buildingtransparency.org/ec3/organizations/c50815559c954fde9275e587d697831d,"Product Identification
Kawneer aluminum windows are designed to increase daylighting, ventilation and provide quality views to the outside while
providing high thermal performance and energy efficiency. The range of Kawneer windows allow you to have increased design
flexibility, thermal options and offer more aesthetic choices for new and retrofit construction.
Thermal performance is a key attribute of Kawneer windows which helps to reduce energy demands. Kawneer windows are
thermally broken to improve thermal resistance. Thermal barriers are created using two methods: insertion of low conductance
material and poured polymers.",Fixed Window,whole window
Fixed and Ribbon Windows,1 m2,2.65E+03 kgCO2e,24.8 kg,,,,,0.0,2.65,106.8548387,0.0,0.0,https://buildingtransparency.org/ec3/organizations/c50815559c954fde9275e587d697831d,"Kawneer aluminum windows are designed to increase daylighting, ventilation and provide quality views to the outside while providing high thermal performance and energy efficiency. The range of Kawneer windows allow you to have increase design flexibility, thermal options and offer more aesthetic choices for new and retrofit construction. Kawneer Fixed & Ribbon Windows featuring: OptiQ™ AA™5450 Series Windows, OptiQ™ AA™4325 Series Windows, TR-7100 Windows, 8225TL Thermal Windows, TR-780 Windows, 8400TL Thermal Windows, TR-7900 Windows, TR-2000 Series Windows, TR-9950 Windows, TR-9460 Windows, TR-9500 Windows, TR-9450 Windows, TR-3000 Series Windows, 516/518 Thermal Windows, AA™6400/6500/6600 Thermal Windows, NX-7400 Windows, NX-280 Windows, NX-380 Windows, NX-4000 Windows, AA™3350, NX-3000 Series Windows, 5500/5525 Thermal Windows and AA™900 Thermal Windows A fixed window is a window designed to be non-operable and consists of a glazed frame or non-operating sash within a frame. A ribbon window is a series of windows set side by side that form a horizontally line across a façade. Thermal performance is a key attribute of Kawneer windows which helps to reduce energy demands. Kawneer windows are thermally broken to improve thermal resistance. Thermal barriers are created using two methods: insertion of low conductance material and poured polymers. TM CROSS SECTION OF AA 6400/6500/6600 THERMAL WINDOW Performance Standards Kawneer products are tested, certified and labeled for the following performance standards: AAMA/WDMA/CSA 101/IS2/A440 (NAFS-North American Fenestration Standard/Specification for windows, doors, and skylights) for the most current version ASTM E283, AAMA 501 and NFRC 400 Air Leakage ASTME331 and AAMA 501 Water Penetration ASTME330 and AAMA 501 Static Structural Performance AAMA 1503, AAMA 507 and NFRC 100 Thermal Transmittance - U-Factors AAMA 1503, CSA A440.2 and NFRC 500 Condensation Resistance (CRF,I,CR) AAMA 507 and NFRC 200 Overall Solar Heat Ga",Fixed Window,whole window
Cascadia Universal Series™ Fixed Window,1 m2,68.285632 kgCO2e,28.1 kg,,,,,0.0,68.285632,2.430093665,0.0,0.0,https://buildingtransparency.org/ec3/organizations/39bd4202b7994e1d8de218db2794012d,"The Universal Series™ Fixed & Operable Windows and Doors offers a patented, high-performance fiberglass solution for fixed and operable windows, as well as doors, storefront and window wall. Designed and manufactured in North America, the Universal Series™ windows feature an innovative, commercial-grade fiberglass frame boasting up to 250% improved thermal performance compared to traditional aluminum windows. Beyond its high strength and thermal efficiency, Cascadia's pultruded, thermoset fiberglass frames also contain roughly 58% recycled content.",Fixed Window,whole window
"Project, Fixed, and Single Hung Window",1.9500000000000002 m2,293.2286 kgCO2e,,,,,,0.0,150.373641025641,0.0,0.0,0.0,https://buildingtransparency.org/ec3/organizations/3b2e5ca7c6b4437b98f31a23c4a6f04a,Description of Company,Fixed Window,whole window
EFCO Series 2700 Projected & Casement Windows,,,,,,,,0.0,0.0,0.0,0.0,0.0,https://buildingtransparency.org/ec3/organizations/eb6e545456f94fae903bfebff7b6b052,"EFCO Projected and Casement Windows are hinged at the sides and swing outward, opened using levers or handles. EFCO offers a wide range of configurations including project-in, project-out, casement and tilt-turn. These windows provide egress, ventilation, and window-washing functionality in addition to natural light. The product line includes Series 2700, Series 2900, Series 325X/325G, Series 450X/450G, Series 510-I, Series 550-I/550G, Series 3902, Series 3903, Series 810-I/810G, and Series PX32/PG32.",Project Window,whole window
EFCO Projected & Casement Windows,1 m2,150 kgCO2e,38.2 kg,,,,,0.0,150.0,3.926701571,0.0,0.0,https://buildingtransparency.org/ec3/organizations/eb6e545456f94fae903bfebff7b6b052,"Projected and casement windows are hinged at the sides and swing outward. They are opened using levers or handles. EFCO offers a wide range of configurations that include project-in, project-out, casement and tilt-turn. EFCO's projected windows
provide egress, ventilation, and window-washing functionality in addition to natural light. 
EFCO projected and casement windows include the following product lines: Series 2700, Series 2900, Series 325X/325G, Series 450X/450G, Series 510-I, Series 550 I/550G, Series 3902, Series 3903, Series 810-I/810G, Series PX32/PG32.",Project Window,whole window
Projected & Casement Windows,1 m2,4840 kgCO2e,29.2 kg,,,,,0.0,4840.0,165.7534247,0.0,0.0,https://buildingtransparency.org/ec3/organizations/c50815559c954fde9275e587d697831d,"Kawneer aluminum windows are designed to increase daylighting, ventilation and provide quality views to the outside while providing high thermal performance and energy efficiency. The range of Kawneer windows allow you to have increase design flexibility, thermal options and offer more aesthetic choices for new and retrofit construction.",Project Window,whole window
Arcadia Projected and Casement Windows,1 m²,125.07 kgCO2e,33 kg,,,2400 kg / m^3,,9096.0,125.07,3.79,0.0,0.0,https://buildingtransparency.org/ec3/organizations/7b7b67560cb84754873ff2c42a188831,"                                              Projected windows are hinged on one side and swing
                                              outward or inward. Arcadia’s projected windows may be
                                              configured as casement, awning, and hopper. They may
                                              be opened using levers or handles. The windows have
                                              thermal and non-thermal enhancement options and
                                              provide ventilation and window-washing functionality in
                                              addition to natural light and cladding aesthetics.
                                              Arcadia projected and casement windows include the
                                              CV200 and the T200. The CV200’s zero sightline
                                              feature adds to the building’s aesthetics, from both the
                                              inside and out.",Project Window,whole window
