# Roof Construction AdditionalProperties
environment,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695,RUN PERIOD 1 ** Denver-Aurora-Buckley AFB CO USA TMY3 WMO#=724695
simulation_hours,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00,8760.00
total_site_energy_GJ,233.98,233.98,233.98,233.98,233.98,233.98,233.98,233.98,233.98,233.98,233.98,218.93,218.93,218.93,218.93,218.93,218.93,218.93,218.93,218.93,218.93,218.93,216.71,216.71,216.71,216.71,216.71,216.71,216.71,216.71,216.71,216.71,216.71,213.24,213.24,213.24,213.24,213.24,213.24,213.24,213.24,213.24,213.24,213.24,212.10,212.10,212.10,212.10,212.10,212.10,212.10,212.10,212.10,212.10,212.10,210.39,210.39,210.39,210.39,210.39,210.39,210.39,210.39,210.39,210.39,210.39
net_site_energy_GJ,233.98,233.98,233.98,233.98,233.98,233.98,233.98,233.98,233.98,233.98,233.98,218.93,218.93,218.93,218.93,218.93,218.93,218.93,218.93,218.93,218.93,218.93,216.71,216.71,216.71,216.71,216.71,216.71,216.71,216.71,216.71,216.71,216.71,213.24,213.24,213.24,213.24,213.24,213.24,213.24,213.24,213.24,213.24,213.24,212.10,212.10,212.10,212.10,212.10,212.10,212.10,212.10,212.10,212.10,212.10,210.39,210.39,210.39,210.39,210.39,210.39,210.39,210.39,210.39,210.39,210.39
total_source_energy_GJ,561.27,561.27,561.27,561.27,561.27,561.27,561.27,561.27,561.27,561.27,561.27,541.72,541.72,541.72,541.72,541.72,541.72,541.72,541.72,541.72,541.72,541.72,539.10,539.10,539.10,539.10,539.10,539.10,539.10,539.10,539.10,539.10,539.10,535.02,535.02,535.02,535.02,535.02,535.02,535.02,535.02,535.02,535.02,535.02,533.69,533.69,533.69,533.69,533.69,533.69,533.69,533.69,533.69,533.69,533.69,531.76,531.76,531.76,531.76,531.76,531.76,531.76,531.76,531.76,531.76,531.76
net_source_energy_GJ,561.27,561.27,561.27,561.27,561.27,561.27,561.27,561.27,561.27,561.27,561.27,541.72,541.72,541.72,541.72,541.72,541.72,541.72,541.72,541.72,541.72,541.72,539.10,539.10,539.10,539.10,539.10,539.10,539.10,539.10,539.10,539.10,539.10,535.02,535.02,535.02,535.02,535.02,535.02,535.02,535.02,535.02,535.02,535.02,533.69,533.69,533.69,533.69,533.69,533.69,533.69,533.69,533.69,533.69,533.69,531.76,531.76,531.76,531.76,531.76,531.76,531.76,531.76,531.76,531.76,531.76
total_building_area_m2,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52
net_conditioned_building_area_m2,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52,464.52
total_end_uses_electricity_GJ,147.69,147.69,147.69,147.69,147.69,147.69,147.69,147.69,147.69,147.69,147.69,146.14,146.14,146.14,146.14,146.14,146.14,146.14,146.14,146.14,146.14,146.14,146.03,146.03,146.03,146.03,146.03,146.03,146.03,146.03,146.03,146.03,146.03,145.88,145.88,145.88,145.88,145.88,145.88,145.88,145.88,145.88,145.88,145.88,145.83,145.83,145.83,145.83,145.83,145.83,145.83,145.83,145.83,145.83,145.83,145.80,145.80,145.80,145.80,145.80,145.80,145.80,145.80,145.80,145.80,145.80
total_end_uses_natural_gas_GJ,86.29,86.29,86.29,86.29,86.29,86.29,86.29,86.29,86.29,86.29,86.29,72.80,72.80,72.80,72.80,72.80,72.80,72.80,72.80,72.80,72.80,72.80,70.68,70.68,70.68,70.68,70.68,70.68,70.68,70.68,70.68,70.68,70.68,67.36,67.36,67.36,67.36,67.36,67.36,67.36,67.36,67.36,67.36,67.36,66.27,66.27,66.27,66.27,66.27,66.27,66.27,66.27,66.27,66.27,66.27,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59
total_end_uses_water_m3,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30,21.30
total_operational_carbon_kgCO2e,19357.47,19357.47,19357.47,19357.47,19357.47,19357.47,19357.47,19357.47,19357.47,19357.47,19357.47,18520.89,18520.89,18520.89,18520.89,18520.89,18520.89,18520.89,18520.89,18520.89,18520.89,18520.89,18402.99,18402.99,18402.99,18402.99,18402.99,18402.99,18402.99,18402.99,18402.99,18402.99,18402.99,18220.62,18220.62,18220.62,18220.62,18220.62,18220.62,18220.62,18220.62,18220.62,18220.62,18220.62,18160.66,18160.66,18160.66,18160.66,18160.66,18160.66,18160.66,18160.66,18160.66,18160.66,18160.66,18073.04,18073.04,18073.04,18073.04,18073.04,18073.04,18073.04,18073.04,18073.04,18073.04,18073.04
